🕘️更新时间,#genre#
2025-09-03 18:44:44,https://ldcctvwbcdks.v.kcdnvip.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8?b=200-2100$订阅源

📺央视频道,#genre#
CCTV-5,https://ldcctvwbcdks.v.kcdnvip.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8?b=200-2100$订阅源
CCTV-5,https://smart.pendy.dpdns.org/Smart.php?id=cctv5$订阅源
CCTV-5+,https://smart.pendy.dpdns.org/Smart.php?id=cctv5plus$订阅源
CCTV-6,https://smart.pendy.dpdns.org/Smart.php?id=cctv6$订阅源
CCTV-7,https://smart.pendy.dpdns.org/Smart.php?id=cctv7$订阅源
CCTV-8,https://smart.pendy.dpdns.org/Smart.php?id=cctv8hd$订阅源
CCTV-9,https://smart.pendy.dpdns.org/Smart.php?id=cctv9hd$订阅源
CCTV-10,https://smart.pendy.dpdns.org/Smart.php?id=cctv10hd$订阅源
CCTV-11,https://smart.pendy.dpdns.org/Smart.php?id=cctv11$订阅源
CCTV-12,https://smart.pendy.dpdns.org/Smart.php?id=cctv12$订阅源
CCTV-13,https://event.pull.hebtv.com/jishi/cp1.m3u8$订阅源
CCTV-13,https://epg.pw/stream/5d3d047c64e44d0a24dc33e5700e579457201d2960036b43819bd930a0bb76a7.m3u8$订阅源
CCTV-13,http://jwplay.hebyun.com.cn/live/cctv13/1500k/tzwj_video.m3u8$订阅源
CCTV-13,https://ldncctvwbcdcnc.v.wscdns.com/ldncctvwbcd/cdrmldcctv13_1/index.m3u8$订阅源
CCTV-13,https://smart.pendy.dpdns.org/Smart.php?id=cctv13$订阅源
CCTV-14,https://event.pull.hebtv.com/jishi/cp2.m3u8#rtsp://103.251.96.71/PLTV/88888888/224/3221225783/10000100000000060000000000726027_0.smil?icpid=SSPID&amp;accounttype=1&amp;limitflux=-1&amp;limitdur=-1&amp;accountinfo=:20240213104135$订阅源
CCTV-14,https://smart.pendy.dpdns.org/Smart.php?id=cctv14$订阅源
CCTV-15,https://smart.pendy.dpdns.org/Smart.php?id=cctv15$订阅源
CCTV-16,https://epg.pw/stream/c1beb2abcba5aef09c2f58efc3ca84b76de2c7b9cf60762b0d79772d9e70d454.m3u8$订阅源

📡卫视频道,#genre#
浙江卫视,http://ali-vl.cztv.com/channels/lantian/channel001/360p.m3u8$订阅源
北京卫视,https://smart.pendy.dpdns.org/Smart.php?id=beijing$订阅源
湖北卫视,https://smart.pendy.dpdns.org/Smart.php?id=hubei$订阅源
黑龙江卫视,https://epg.pw/stream/c6c1262d0b35e59eac22bf513395f00f8b60cc5eab41f598412cdf8269312f32.m3u8$订阅源
黑龙江卫视,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8$订阅源
东方卫视,https://epg.pw/stream/6aec3ea636542c53729b5c9dd290864ab04d4a69d2b9cb7864a9898779915898.m3u8$订阅源
东南卫视,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8$订阅源
东南卫视,https://smart.pendy.dpdns.org/Smart.php?id=fujian$订阅源
甘肃卫视,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8$订阅源
广西卫视,https://hlscdn.liangtv.cn/live/de0f97348eb84f62aa6b7d8cf0430770/dd505d87880c478f901f38560ca4d4e6.m3u8$订阅源
广西卫视,https://smart.pendy.dpdns.org/Smart.php?id=guangxi$订阅源
河北卫视,https://jwplay.hebyun.com.cn/live/hbwstv/1500k/tzwj_video.m3u8$订阅源
内蒙古卫视,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8$订阅源
山东卫视,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8$订阅源
山西卫视,http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel7/playlist.m3u8$订阅源
深圳卫视,https://smart.pendy.dpdns.org/Smart.php?id=shenzhen$订阅源

🌊港·澳·台,#genre#
翡翠台,http://cdn9.163189.xyz/smt1.1.php?id=jade_twn$订阅源
明珠台,http://cdn9.163189.xyz/smt1.1.php?id=pearl_twn$订阅源
明珠台,https://mytv.cdn.loc.cc/o12.php?id=mzt$订阅源
凤凰中文,https://k44991.kylintv.tv/live/pxna_iphone.m3u8$LR•IPV4『线路41』
凤凰资讯,https://k44991.kylintv.tv/live/pxinhd_iphone.m3u8$订阅源
凤凰资讯,https://smart.pendy.dpdns.org/Smart.php?id=phoenixinfo_hd$订阅源
凤凰资讯,http://www.terrykang.cn:5678/sxg.php?id=test2_4000$订阅源
凤凰香港,https://epg.pw/stream/8770e89223a086eb1b8a0c931e42296d772a8069ad3eb72540e0c434e7cb3e93.m3u8$订阅源
凤凰香港,https://smart.pendy.dpdns.org/Smart.php?id=hkphoenix_twn$订阅源
凤凰卫视,https://smart.pendy.dpdns.org/Smart.php?id=phoenixtv_hd$订阅源
TVBS亚洲,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd$LR•IPV4『线路8』
香港卫视,https://yvxymm.tv12.xyz/175.m3u8$订阅源
纬来体育,https://epg.pw/stream/8855a9936e37e608a0ec8a014cce1673dee9c5d68d560da376cc92e5edef2b25.m3u8$订阅源
纬来体育,https://smart.pendy.dpdns.org/Smart.php?id=videolandsport$订阅源
纬来育乐,https://smart.pendy.dpdns.org/Smart.php?id=videolandyule$订阅源
无线新闻,http://cdn9.163189.xyz/smt1.1.php?id=inews_twn$订阅源
三立新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV32.m3u8$订阅源
三立新闻,https://epg.pw/stream/6b49e3faa38adda85abab446f032dc1e686baa0760a9cfa66e2df8fd6fe3b445.m3u8$订阅源
东森综合,https://smart.pendy.dpdns.org/Smart.php?id=ettvzhonghe$订阅源
东森超视,https://smart.pendy.dpdns.org/Smart.php?id=ettvsuper$订阅源
东森电影,https://smart.pendy.dpdns.org/Smart.php?id=ettvmovie$订阅源

🎬电影频道,#genre#
CHC家庭影院,http://eastscreen.tv/ooooo.php$订阅源
CHC动作电影,http://eastscreen.tv/ooooo.php$订阅源
黑莓电影,https://epg.pw/stream/ffcb6572863f0745a7369fbd9d901f1dfd0ab8fab8bad8bebb4e01c90b303c47.m3u8$订阅源
纬来电影,https://smart.pendy.dpdns.org/Smart.php?id=videolandmovie$订阅源
天映经典,https://epg.pw/stream/cb817875cf26eb683af274dd8cdf7f559a71353d9565c32447c8d98894bc8095.ctv$订阅源
东森电影,https://smart.pendy.dpdns.org/Smart.php?id=ettvmovie$订阅源
东森超视,https://smart.pendy.dpdns.org/Smart.php?id=ettvsuper$订阅源

🎥咪咕直播,#genre#

🏀体育频道,#genre#
CCTV-5,https://ldcctvwbcdks.v.kcdnvip.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8?b=200-2100$订阅源
CCTV-5,https://smart.pendy.dpdns.org/Smart.php?id=cctv5$订阅源
CCTV-5+,https://smart.pendy.dpdns.org/Smart.php?id=cctv5plus$订阅源
广东体育,https://epg.pw/stream/7b470f9fc5c305db0c8622117b7b25ca00eb35ba3e93e865cf0ff9df5c736681.m3u8$订阅源
纬来体育,https://epg.pw/stream/8855a9936e37e608a0ec8a014cce1673dee9c5d68d560da376cc92e5edef2b25.m3u8$订阅源
纬来体育,https://smart.pendy.dpdns.org/Smart.php?id=videolandsport$订阅源
精品体育,https://epg.pw/stream/f7556eccd4ae06b0c2991fdc7a4f8388496559f728cc82459a8e50346040e226.m3u8$订阅源
睛彩广场舞,http://13937899.xyz:35455/itv/3000000020000011524.m3u8?cdn=FifastbLive$订阅源
风云足球,https://epg.pw/stream/6d7bf281e3d739806a73f5373acaa6e01988ec9739f5ac1355ce54b47a928472.m3u8$订阅源

🪁动画频道,#genre#
河北少儿科教,https://event.pull.hebtv.com/jishi/shaoerkejiao.m3u8$订阅源
海绵宝宝,https://live.metshop.top/douyu/3949681$订阅源
中华小当家,https://live.metshop.top/huya/11342413$订阅源
经典动漫,https://www.goodiptv.club/yy/22777075$订阅源
漫画解说,https://www.goodiptv.club/douyu/5907076$订阅源

🎮游戏频道,#genre#

🎵音乐频道,#genre#
CCTV-15,https://smart.pendy.dpdns.org/Smart.php?id=cctv15$订阅源

🏛经典剧场,#genre#
天龙八部,http://www.clmy.cc:35455/yy/1355067965$订阅源
天龙八部,https://live.metshop.top/huya/23903123$订阅源
水浒传,http://www.clmy.cc:35455/yy/1353873252$订阅源
新白娘子传奇,http://www.clmy.cc:35455/yy/1354490667$订阅源
